AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
Tucson
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
All Points,Contact: Please visit https://aeronet.gsfc.nasa.gov/new_web/data_usage.html to properly cite these data and contact principal investigators at https://aeronet.gsfc.nasa.gov/cgi-bin/site_info_v3
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_Extinction-Total[440nm],AOD_Extinction-Total[675nm],AOD_Extinction-Total[870nm],AOD_Extinction-Total[1020nm],AOD_Extinction-Fine[440nm],AOD_Extinction-Fine[675nm],AOD_Extinction-Fine[870nm],AOD_Extinction-Fine[1020nm],AOD_Extinction-Coarse[440nm],AOD_Extinction-Coarse[675nm],AOD_Extinction-Coarse[870nm],AOD_Extinction-Coarse[1020nm],Extinction_Angstrom_Exponent_440-870nm-Total,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Grand_Forks,29:09:2016,22:09:32,273,273.923287,0.052500,0.034300,0.030500,0.028900,0.029500,0.010100,0.005700,0.003900,0.023000,0.024200,0.024800,0.025100,0.812362,71.604089,71.155652,1.708009,0.050450,0.050753,4,10,7,5,4,10,7,5,4,10,7,5,4,10,7,6,0.058690,0.117940,0.294200,0.329370,1,1,28:08:2021,11:02:46,657,47.911750,-97.325450,268.000000,lev20,Almucantar
U_of_Wisconsin_SSEC,29:09:2016,22:20:02,273,273.930579,0.093900,0.046400,0.032400,0.026700,0.079800,0.031500,0.016900,0.011100,0.014100,0.014900,0.015400,0.015600,1.573234,76.678907,76.157182,2.610572,0.028558,0.093896,4,10,6,5,3,8,5,4,4,10,6,4,4,10,4,3,0.094680,0.112780,0.219720,0.215410,1,1,09:02:2021,04:19:45,753,43.072492,-89.411354,330.000000,lev20,Almucantar
Beijing-CAMS,29:09:2016,23:34:14,273,273.982106,0.930600,0.552900,0.389500,0.316400,0.797200,0.411300,0.240900,0.163800,0.133400,0.141600,0.148600,0.152600,1.274613,74.365428,74.912121,2.266719,0.011562,0.926689,4,10,7,6,4,10,7,5,4,10,7,5,4,10,7,6,0.055730,0.105260,0.206110,0.205220,1,1,09:02:2021,04:35:51,795,39.933330,116.316670,106.000000,lev20,Almucantar
Beijing-CAMS,30:09:2016,00:01:32,274,274.001065,0.949000,0.566800,0.396800,0.321800,0.816700,0.426500,0.249100,0.169600,0.132300,0.140300,0.147700,0.152200,1.274648,69.466877,69.997537,2.018669,0.011860,0.945027,4,10,7,6,4,10,7,6,4,10,7,5,4,10,7,5,0.051810,0.098250,0.192320,0.192220,1,1,09:02:2021,04:36:38,795,39.933330,116.316670,106.000000,lev20,Almucantar
Beijing-CAMS,30:09:2016,01:04:25,274,274.044734,1.069300,0.644500,0.446900,0.361500,0.928800,0.495600,0.289700,0.199300,0.140600,0.148900,0.157300,0.162300,1.272988,58.951153,59.420397,1.297914,0.026543,1.065010,4,10,7,4,4,10,7,4,3,11,7,4,3,10,7,4,0.046340,0.088460,0.173070,0.173840,1,1,09:02:2021,04:38:27,795,39.933330,116.316670,106.000000,lev20,Almucantar
Beijing-CAMS,30:09:2016,01:15:05,274,274.052141,1.084800,0.652600,0.453400,0.367200,0.940400,0.499500,0.291700,0.200600,0.144400,0.153200,0.161700,0.166600,1.273393,57.315614,57.770253,1.163898,0.019131,1.080476,4,10,7,4,4,10,7,4,4,10,7,4,4,10,7,4,0.045750,0.087380,0.170910,0.171790,1,1,09:02:2021,04:38:23,795,39.933330,116.316670,106.000000,lev20,Almucantar
Beijing-CAMS,30:09:2016,02:07:04,274,274.088241,1.092000,0.652600,0.459100,0.374900,0.950400,0.502100,0.300100,0.211000,0.141600,0.150500,0.159000,0.163900,1.267290,50.240483,50.601154,0.832874,0.013301,1.087335,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.043700,0.083670,0.163370,0.164630,1,1,09:02:2021,04:36:08,795,39.933330,116.316670,106.000000,lev20,Almucantar
Santa_Monica_Colg,29:09:2016,22:46:14,273,273.948773,0.078000,0.044500,0.034300,0.030700,0.057200,0.022400,0.011200,0.007100,0.020900,0.022200,0.023100,0.023600,1.213186,57.044728,56.511163,3.243142,0.235273,0.075758,4,10,7,5,4,10,7,5,4,10,8,4,4,10,8,4,0.059990,0.100000,0.182950,0.179900,1,1,09:02:2021,03:49:44,804,34.016850,-118.471130,55.000000,lev20,Almucantar
Santa_Monica_Colg,29:09:2016,23:09:18,273,273.964792,0.081800,0.046600,0.035900,0.032000,0.060400,0.023700,0.012100,0.007700,0.021400,0.022800,0.023800,0.024300,1.216131,61.254015,60.696721,3.941581,0.249994,0.079637,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.064970,0.105770,0.191820,0.187950,1,1,09:02:2021,03:49:41,804,34.016850,-118.471130,55.000000,lev20,Almucantar
SEARCH-Yorkville,29:09:2016,21:50:24,273,273.910000,0.046000,0.026200,0.019600,0.017000,0.036200,0.015700,0.008700,0.005900,0.009900,0.010600,0.011000,0.011100,1.264339,71.773005,71.177965,3.847346,0.072112,0.045176,4,10,7,6,4,10,4,4,4,10,5,3,4,10,5,3,0.024280,0.042140,0.357310,0.357480,1,1,09:02:2021,03:42:07,93,33.928330,-85.045550,394.000000,lev20,Almucantar
